Supplementary Table 3. Differential abundance analysis results across meat and dairy groups for microbiome features.						
Feature Type/Library	Feature	Feature function/pathway/details	Fold Change	Group with higher relative abundace	Mann Whitney U test raw p-value	FDR 
K01933	phosphoribosylformylglycinamidine cyclo-ligase [EC:6.3.3.1]	Metabolism; Nucleotide metabolism; Purine metabolism	0.014434199	Meat	0.734269681	0.910235772
PF06889	[Protein of unknown function (DUF1266)]		0.015384808	Meat	0.734269681	0.910235772
ENOG410XUF9	TetR family transcriptional Regulator	Transcription	0.017613616	Meat	0.734269681	0.910235772
K04031	ethanolamine utilization protein EutS	Not Included in Pathway or Brite; Unclassified: metabolism; Amino acid metabolism	0.019548787	Meat	0.734269681	0.910235772
PF01367	"[5'-3' exonuclease, C-terminal SAM fold]"		0.02151231	Meat	0.734269681	0.910235772
COG0576	Molecular chaperone GrpE (heat shock protein)	"Posttranslational modification, protein turnover, chaperones"	0.023347335	Meat	0.734269681	0.910235772
K01000	phospho-N-acetylmuramoyl-pentapeptide-transferase [EC:2.7.8.13]	Metabolism; Glycan biosynthesis and metabolism; Peptidoglycan biosynthesis | Human Diseases; Drug resistance: Antimicrobial; Vancomycin resistance | Brite Hierarchies; Protein families: metabolism; Peptidoglycan biosynthesis and degradation proteins	0.027360718	Meat	0.734269681	0.910235772
K02520	translation initiation factor IF-3	Brite Hierarchies; Protein families: genetic information processing; Translation factors | Brite Hierarchies; Protein families: genetic information processing; Mitochondrial biogenesis	0.029175748	Meat	0.734269681	0.910235772
COG0195	Transcription elongation factor	Transcription	0.030469577	Meat	0.734269681	0.910235772
PF20143	[]		0.032917116	Meat	0.734269681	0.910235772
ENOG410ZJ6A	Bacterial group 2 Ig-like protein	Function unknown	0.034215056	Meat	0.734269681	0.910235772
K04043	molecular chaperone DnaK	"Genetic Information Processing; Folding, sorting and degradation; RNA degradation | Organismal Systems; Aging; Longevity regulating pathway - worm | Human Diseases; Infectious diseases: Bacterial; Tuberculosis | Brite Hierarchies; Protein families: genetic information processing; Messenger RNA biogenesis | Brite Hierarchies; Protein families: genetic information processing; Chaperones and folding catalysts | Brite Hierarchies; Protein families: genetic information processing; Mitochondrial biogenesis | Brite Hierarchies; Protein families: signaling and cellular processes; Exosome"	0.037740792	Meat	0.734269681	0.910235772
K01223	6-phospho-beta-glucosidase [EC:3.2.1.86]	Metabolism; Carbohydrate metabolism; Glycolysis / Gluconeogenesis | Metabolism; Carbohydrate metabolism; Starch and sucrose metabolism	0.03803797	Meat	0.734269681	0.910235772
K01633	"7,8-dihydroneopterin aldolase/epimerase/oxygenase [EC:4.1.2.25 5.1.99.8 1.13.11.81]"	Metabolism; Metabolism of cofactors and vitamins; Folate biosynthesis	0.058593332	Meat	0.734269681	0.910235772
COG1611	Predicted Rossmann fold nucleotide-binding protein	General function prediction only	0.061414906	Meat	0.734269681	0.910235772
COG0501	Zn-dependent protease with chaperone function	"Posttranslational modification, protein turnover, chaperones"	0.084701362	Meat	0.734269681	0.910235772
COG2272	Carboxylesterase type B	Lipid metabolism	0.089894307	Meat	0.734269681	0.910235772
K07738	transcriptional repressor NrdR	Brite Hierarchies; Protein families: genetic information processing; Transcription factors	0.102724633	Meat	0.734269681	0.910235772
COG4200	Uncharacterized protein conserved in bacteria	Function unknown	0.109987674	Meat	0.734269681	0.910235772
PF04261	[Dyp-type peroxidase family ]		0.113004246	Meat	0.734269681	0.910235772
ENOG410ZX41		Function unknown	0.117935649	Meat	0.734269681	0.910235772
K03521	electron transfer flavoprotein beta subunit	Not Included in Pathway or Brite; Unclassified: metabolism; Energy metabolism	0.12111474	Meat	0.734269681	0.910235772
K01195	beta-glucuronidase [EC:3.2.1.31]	Metabolism; Carbohydrate metabolism; Pentose and glucuronate interconversions | Metabolism; Glycan biosynthesis and metabolism; Glycosaminoglycan degradation | Metabolism; Metabolism of cofactors and vitamins; Porphyrin and chlorophyll metabolism | Metabolism; Biosynthesis of other secondary metabolites; Flavone and flavonol biosynthesis | Metabolism; Xenobiotics biodegradation and metabolism; Drug metabolism - other enzymes | Cellular Processes; Transport and catabolism; Lysosome	0.121207601	Meat	0.734269681	0.910235772
ENOG4111RVU	PHP domain protein	Function unknown	0.135420608	Meat	0.734269681	0.910235772
ENOG410XSDQ	Prophage Lp1 protein 65	Function unknown	0.146812414	Meat	0.734269681	0.910235772
K12996	rhamnosyltransferase [EC:2.4.1.-]	Brite Hierarchies; Protein families: metabolism; Glycosyltransferases | Brite Hierarchies; Protein families: metabolism; Lipopolysaccharide biosynthesis proteins	0.157289252	Meat	0.734269681	0.910235772
ENOG4111I5Z		Function unknown	0.171927234	Meat	0.734269681	0.910235772
K04047	starvation-inducible DNA-binding protein	Brite Hierarchies; Protein families: genetic information processing; Chromosome and associated proteins	0.175049325	Meat	0.734269681	0.910235772
ENOG410XRDB	radical SAM domain protein	Function unknown	0.178053355	Meat	0.734269681	0.910235772
ENOG4112518	"Toxin-antitoxin system, antitoxin component, HicB family"	Function unknown	0.212969438	Meat	0.734269681	0.910235772
ENOG4111FVX		Function unknown	0.21532319	Meat	0.734269681	0.910235772
K17466	"PTS system, D-glucosaminate-specific IIC component"	Metabolism; Carbohydrate metabolism; Pentose phosphate pathway | Environmental Information Processing; Membrane transport; Phosphotransferase system (PTS) | Brite Hierarchies; Protein families: signaling and cellular processes; Transporters	0.21946511	Meat	0.734269681	0.910235772
K16301	deferrochelatase/peroxidase EfeB [EC:1.11.1.-]	Brite Hierarchies; Protein families: signaling and cellular processes; Transporters	0.247401906	Meat	0.734269681	0.910235772
ENOG410YH1K	Domain of unknown function (DUF1735)	Function unknown	0.191991503	Meat	0.735146027	0.911255816
k_Bacteria.p_Actinobacteria.c_Coriobacteriia.o_Coriobacteriales.f_Coriobacteriaceae.g_Enorma.s_Unclassified.Enorma	NA	NA	0.026700619	Meat	0.73535483	0.911381998
ENOG410ZTN9		Function unknown	0.24311979	Meat	0.736094075	0.912099111
K19431	pyruvyl transferase EpsO [EC:2.-.-.-]	Not Included in Pathway or Brite; Unclassified: metabolism; Enzymes with EC numbers	0.340816352	Meat	0.736363777	0.912366931
ENOG410XUAZ	extracellular solute-binding protein family 1	Carbohydrate transport and metabolism	0.234469059	Meat	0.73875937	0.914802784
K04127	isopenicillin-N epimerase [EC:5.1.1.17]	Metabolism; Biosynthesis of other secondary metabolites; Penicillin and cephalosporin biosynthesis	0.604416792	Meat	0.73875937	0.914802784
COG3327	Phenylacetic acid-responsive transcriptional repressor	Transcription	0.230583121	Meat	0.739939651	0.915864847
ENOG410Z3Y8		Function unknown	0.346760472	Meat	0.739939651	0.915864847
ENOG410XX1B		Function unknown	0.080980646	Meat	0.740668361	0.916268136
k_Bacteria.p_Firmicutes.c_Clostridia.o_Eubacteriales.f_Oscillospiraceae.g_Flavonifractor.s_Flavonifractor.sp.	NA	NA	0.244569791	Meat	0.740668361	0.916268136
ENOG410ZW69		Function unknown	0.355274977	Meat	0.742639609	0.916268136
k_Bacteria.p_Firmicutes.c_Clostridia.o_Candidatus.Metalachnospira..no.order.in.NCBI..f_Candidatus.Metalachnospira..no.family.in.NCBI..g_Candidatus.Metalachnospira.s_Candidatus.Metalachnospira.gallinarum	NA	NA	0.395725835	Meat	0.743229199	0.916268136
ENOG410ZVG1	fumarate reductase succinate dehydrogenase flavoprotein domain protein	Function unknown	0.214146953	Meat	0.743537835	0.916268136
PF14487	[Domain of unknown function (DUF4433)]		0.296948335	Meat	0.743537835	0.916268136
K03774	FKBP-type peptidyl-prolyl cis-trans isomerase SlpA [EC:5.2.1.8]	Brite Hierarchies; Protein families: genetic information processing; Chaperones and folding catalysts	0.35894929	Meat	0.744774849	0.916268136
COG1505	Serine proteases of the peptidase family S9A	Amino acid transport and metabolism	0.103605657	Meat	0.745709938	0.916268136
ENOG410YEET		Function unknown	0.348105453	Meat	0.745709938	0.916268136
ENOG410YK05		Function unknown	0.281453796	Meat	0.745993079	0.916268136
ENOG410Y90I		"Replication, recombination and repair"	0.158254307	Meat	0.746750907	0.916268136
K00712	poly(glycerol-phosphate) alpha-glucosyltransferase [EC:2.4.1.52]	Brite Hierarchies; Protein families: metabolism; Glycosyltransferases	0.129897411	Meat	0.7468598	0.916268136
ENOG410ZMSK		Function unknown	0.406643566	Meat	0.74689081	0.916268136
PF10140	"[WXG100 protein secretion system (Wss), protein YukC]"		0.118650085	Meat	0.747028136	0.916268136
K21993	formate transporter	Brite Hierarchies; Protein families: signaling and cellular processes; Transporters	0.102006889	Meat	0.74725672	0.916268136
COG2977	Phosphopantetheinyl transferase component of siderophore synthetase	"Secondary metabolites biosynthesis, transport and catabolism"	0.36125571	Meat	0.74725672	0.916268136
ENOG4111PKS	Structural protein	Function unknown	0.315229229	Meat	0.747326571	0.916268136
ENOG410Y4D6	sodium sulfate symporter	Function unknown	0.326002683	Meat	0.747373107	0.916268136
PF18951	[]		0.086811582	Meat	0.747401016	0.916268136
ENOG410ZZC5		Function unknown	0.520368046	Meat	0.747414967	0.916268136
K01424	L-asparaginase [EC:3.5.1.1]	"Metabolism; Amino acid metabolism; Alanine, aspartate and glutamate metabolism | Metabolism; Metabolism of other amino acids; Cyanoamino acid metabolism"	0.003519591	Meat	0.747419616	0.916268136
K01755	argininosuccinate lyase [EC:4.3.2.1]	"Metabolism; Amino acid metabolism; Alanine, aspartate and glutamate metabolism | Metabolism; Amino acid metabolism; Arginine biosynthesis | Brite Hierarchies; Protein families: signaling and cellular processes; Exosome"	0.004206515	Meat	0.747419616	0.916268136
PF03432	[Relaxase/Mobilisation nuclease domain ]		0.005392371	Meat	0.747419616	0.916268136
PF13546	[DDE superfamily endonuclease]		0.005441008	Meat	0.747419616	0.916268136
PF18980	[]		0.0077926	Meat	0.747419616	0.916268136
ENOG4110QUF		Function unknown	0.008967874	Meat	0.747419616	0.916268136
COG1929	Glycerate kinase	Carbohydrate transport and metabolism	0.012105392	Meat	0.747419616	0.916268136
COG2878	"Predicted NADH:ubiquinone oxidoreductase, subunit RnfB"	Energy production and conversion	0.01256343	Meat	0.747419616	0.916268136
PF01180	[Dihydroorotate dehydrogenase]		0.01398682	Meat	0.747419616	0.916268136
COG0153	Galactokinase	Carbohydrate transport and metabolism	0.014341086	Meat	0.747419616	0.916268136
K07003	uncharacterized protein	Not Included in Pathway or Brite; Poorly characterized; Function unknown	0.015859147	Meat	0.747419616	0.916268136
K00052	3-isopropylmalate dehydrogenase [EC:1.1.1.85]	"Metabolism; Carbohydrate metabolism; C5-Branched dibasic acid metabolism | Metabolism; Amino acid metabolism; Valine, leucine and isoleucine biosynthesis"	0.020060132	Meat	0.747419616	0.916268136
COG4769	Predicted membrane protein	Function unknown	0.02611982	Meat	0.747419616	0.916268136
ENOG410ZXQY		Function unknown	0.030038225	Meat	0.747419616	0.916268136
ENOG410XVFQ	Signal peptidase I	"Intracellular trafficking, secretion, and vesicular transport"	0.03377615	Meat	0.747419616	0.916268136
ENOG41123Y1	stage iii sporulation protein ag	Function unknown	0.036265964	Meat	0.747419616	0.916268136
ENOG4111P6H	cell division septal protein	Function unknown	0.037765323	Meat	0.747419616	0.916268136
COG0021	Transketolase	Carbohydrate transport and metabolism	0.040013509	Meat	0.747419616	0.916268136
PF03613	[PTS system mannose/fructose/sorbose family IID component]		0.043726944	Meat	0.747419616	0.916268136
COG0215	Cysteinyl-tRNA synthetase	"Translation, ribosomal structure and biogenesis"	0.044877519	Meat	0.747419616	0.916268136
PF12705	[PD-(D/E)XK nuclease superfamily]		0.047749832	Meat	0.747419616	0.916268136
PF18555	[]		0.04852191	Meat	0.747419616	0.916268136
PF00977	[Histidine biosynthesis protein]		0.050648002	Meat	0.747419616	0.916268136
COG0775	Nucleoside phosphorylase	Nucleotide transport and metabolism	0.057831785	Meat	0.747419616	0.916268136
COG4826	Serine protease inhibitor	"Posttranslational modification, protein turnover, chaperones"	0.058373835	Meat	0.747419616	0.916268136
K07493	putative transposase	Not Included in Pathway or Brite; Unclassified: genetic information processing; Replication and repair	0.060109374	Meat	0.747419616	0.916268136
PF17386	[Lacto-N-biose phosphorylase C-terminal domain]		0.060164661	Meat	0.747419616	0.916268136
K03075	preprotein translocase subunit SecG	"Genetic Information Processing; Folding, sorting and degradation; Protein export | Environmental Information Processing; Membrane transport; Bacterial secretion system | Cellular Processes; Cellular community - prokaryotes; Quorum sensing | Brite Hierarchies; Protein families: signaling and cellular processes; Secretion system"	0.062647889	Meat	0.747419616	0.916268136
PF02074	[Carboxypeptidase Taq (M32) metallopeptidase]		0.062991721	Meat	0.747419616	0.916268136
PF08244	[Glycosyl hydrolases family 32 C terminal]		0.068171584	Meat	0.747419616	0.916268136
COG1108	"ABC-type Mn2+/Zn2+ transport systems, permease components"	Inorganic ion transport and metabolism	0.070042148	Meat	0.747419616	0.916268136
K16786	energy-coupling factor transport system ATP-binding protein [EC:3.6.3.-]	Environmental Information Processing; Membrane transport; ABC transporters | Brite Hierarchies; Protein families: signaling and cellular processes; Transporters	0.074297423	Meat	0.747419616	0.916268136
PF12974	"[ABC transporter, phosphonate, periplasmic substrate-binding protein ]"		0.075454347	Meat	0.747419616	0.916268136
ENOG410XRNA	ENOG410XRNA (name not available)	ENOG410XRNA (path not available)	0.077063718	Meat	0.747419616	0.916268136
COG4605	"ABC-type enterochelin transport system, permease component"	Inorganic ion transport and metabolism	0.080522226	Meat	0.747419616	0.916268136
PF04026	[SpoVG]		0.091247343	Meat	0.747419616	0.916268136
COG1816	Adenosine deaminase	Nucleotide transport and metabolism	0.091454034	Meat	0.747419616	0.916268136
PF13684	[Dihydroxyacetone kinase family]		0.101497902	Meat	0.747419616	0.916268136
K01480	agmatinase [EC:3.5.3.11]	Metabolism; Amino acid metabolism; Arginine and proline metabolism	0.103342914	Meat	0.747419616	0.916268136
COG3383	Uncharacterized anaerobic dehydrogenase	General function prediction only	0.165720566	Meat	0.747419616	0.916268136
ENOG410XQM3	Protein of unknown function (DUF2961)	Function unknown	0.170833429	Meat	0.747419616	0.916268136
ENOG410Y2JJ	Replication initiator protein A	"Replication, recombination and repair"	0.194154416	Meat	0.747419616	0.916268136
ENOG41122IS		Function unknown	0.20268538	Meat	0.747419616	0.916268136
COG4186	Predicted phosphoesterase or phosphohydrolase	General function prediction only	0.204635711	Meat	0.747419616	0.916268136
ENOG410Y0VY	chitinase-related protein	Function unknown	0.205690303	Meat	0.747419616	0.916268136
PF02133	"[Permease for cytosine/purines, uracil, thiamine, allantoin]"		0.206003792	Meat	0.747419616	0.916268136
K07464	CRISPR-associated exonuclease Cas4 [EC:3.1.12.1]	Brite Hierarchies; Protein families: signaling and cellular processes; Prokaryotic defense system	0.206470674	Meat	0.747419616	0.916268136
ENOG410YAIS		Function unknown	0.211397959	Meat	0.747419616	0.916268136
ENOG410XQ4W	Transporter	Function unknown	0.227756706	Meat	0.747419616	0.916268136
COG4679	Phage-related protein	Function unknown	0.262969635	Meat	0.747419616	0.916268136
K03831	molybdopterin adenylyltransferase [EC:2.7.7.75]	"Metabolism; Metabolism of cofactors and vitamins; Folate biosynthesis | Genetic Information Processing; Folding, sorting and degradation; Sulfur relay system"	0.293603686	Meat	0.747419616	0.916268136
COG2079	Uncharacterized protein involved in propionate catabolism	General function prediction only	0.34580883	Meat	0.747419616	0.916268136
ENOG4112B23		Function unknown	0.415322017	Meat	0.747419616	0.916268136
K16328	pseudouridine kinase [EC:2.7.1.83]	Metabolism; Nucleotide metabolism; Pyrimidine metabolism	0.562054714	Meat	0.747419616	0.916268136
